Time,WW,WH,WR,WB,HH,HR,HB,RR,RB,BB
60,69,0,0,0,0,0,0,0,0,0
61,75,0,0,0,0,0,0,0,0,0
62,79,0,0,0,0,0,0,0,0,0
63,80,0,0,0,0,0,0,0,0,0
64,87,0,0,0,0,0,0,0,0,0
65,84,0,0,0,0,0,0,0,0,0
66,91,0,0,0,0,0,0,0,0,0
67,86,0,0,0,0,0,0,0,0,0
68,78,0,0,0,0,0,0,0,0,0
69,81,0,0,0,0,0,0,0,0,0
70,85,0,0,0,0,0,0,0,0,0
71,88,0,0,0,0,0,0,0,0,0
72,88,0,0,0,0,0,0,0,0,0
73,93,0,0,0,0,0,0,0,0,0
74,83,0,0,0,0,0,0,0,0,0
75,72,0,0,0,0,0,0,0,0,0
76,85,0,0,0,0,0,0,0,0,0
77,81,0,0,0,0,0,0,0,0,0
78,89,0,0,0,0,0,0,0,0,0
79,86,0,0,0,0,0,0,0,0,0
80,79,0,0,0,0,0,0,0,0,0
81,82,0,0,0,0,0,0,0,0,0
82,98,0,0,0,0,0,0,0,0,0
83,73,0,0,0,0,0,0,0,0,0
84,93,0,0,0,0,0,0,0,0,0
85,88,0,0,0,0,0,0,0,0,0
86,77,0,0,0,0,0,0,0,0,0
87,85,0,0,0,0,0,0,0,0,0
88,95,0,0,0,0,0,0,0,0,0
89,79,0,0,0,0,0,0,0,0,0
90,88,0,0,0,0,0,0,0,0,0
91,76,0,0,0,0,0,0,0,0,0
92,85,0,0,0,0,0,0,0,0,0
93,80,0,0,0,0,0,0,0,0,0
94,75,0,0,0,0,0,0,0,0,0
95,73,0,0,0,0,0,0,0,0,0
96,91,0,0,0,0,0,0,0,0,0
97,80,0,0,0,0,0,0,0,0,0
98,73,0,0,0,0,0,0,0,0,0
99,83,0,0,0,0,0,0,0,0,0
100,77,0,0,0,12,0,0,0,0,0
101,91,0,0,0,20,0,0,0,0,0
102,88,0,0,0,17,0,0,0,0,0
103,95,0,0,0,6,0,0,0,0,0
104,79,0,0,0,12,0,0,0,0,0
105,85,0,0,0,14,0,0,0,0,0
106,87,0,0,0,10,0,0,0,0,0
107,76,0,0,0,7,0,0,0,0,0
108,85,0,0,0,9,0,0,0,0,0
109,83,0,0,0,5,0,0,0,0,0
110,104,0,0,0,6,0,0,0,0,0
111,98,0,0,0,6,0,0,0,0,0
112,59,0,0,0,4,0,0,0,0,0
113,81,0,0,0,5,0,0,0,0,0
114,88,0,0,0,3,0,0,0,0,0
115,77,0,0,0,4,0,0,0,0,0
116,76,0,0,0,2,0,0,0,0,0
117,83,0,0,0,4,0,0,0,0,0
118,85,0,0,0,2,0,0,0,0,0
119,85,0,0,0,2,0,0,0,0,0
120,75,0,0,0,3,0,0,0,0,0
121,83,1,0,0,3,0,0,0,0,0
122,74,3,0,0,0,0,0,0,0,0
123,90,1,0,0,1,0,0,0,0,0
124,100,8,0,0,7,0,0,0,0,0
125,84,6,0,0,1,0,0,0,0,0
126,77,8,0,0,3,0,0,0,0,0
127,89,4,0,0,2,0,0,0,0,0
128,63,2,0,0,1,0,0,0,0,0
129,72,10,0,0,0,0,0,0,0,0
130,80,9,0,0,2,0,0,0,0,0
131,74,6,0,0,1,0,0,0,0,0
132,75,7,0,0,0,0,0,0,0,0
133,71,13,0,0,0,0,0,0,0,0
134,82,6,0,0,0,0,0,0,0,0
135,80,14,0,0,2,0,0,0,0,0
136,93,8,0,0,1,0,0,0,0,0
137,75,7,0,0,2,0,0,0,0,0
138,73,9,0,0,0,0,0,0,0,0
139,59,12,0,0,1,0,0,0,0,0
140,74,6,0,0,1,0,0,0,0,0
141,62,6,0,0,1,0,0,0,0,0
142,72,9,0,0,0,0,0,0,0,0
143,83,11,0,0,0,0,0,0,0,0
144,68,9,0,0,0,0,0,0,0,0
145,71,11,0,0,4,0,0,0,0,0
146,82,14,0,0,0,0,0,0,0,0
147,79,7,0,0,0,0,0,0,0,0
148,78,11,0,0,0,0,0,0,0,0
149,81,11,0,0,0,0,0,0,0,0
150,73,8,0,0,13,0,0,0,0,0
151,90,11,0,0,10,0,0,0,0,0
152,79,15,0,0,12,0,0,0,0,0
153,52,11,0,0,11,0,0,0,0,0
154,68,11,0,0,12,0,0,0,0,0
155,65,18,0,0,12,0,0,0,0,0
156,75,14,0,0,12,0,0,0,0,0
157,84,12,0,0,5,0,0,0,0,0
158,62,16,0,0,8,0,0,0,0,0
159,68,14,0,0,5,0,0,0,0,0
160,76,13,0,0,6,0,0,0,0,0
161,73,20,0,0,7,0,0,0,0,0
162,74,11,0,0,8,0,0,0,0,0
163,69,8,0,0,7,0,0,0,0,0
164,57,10,0,0,11,0,0,0,0,0
165,71,13,0,0,2,0,0,0,0,0
166,79,12,0,0,4,0,0,0,0,0
167,82,9,0,0,1,0,0,0,0,0
168,59,18,0,0,2,0,0,0,0,0
169,71,14,0,0,1,0,0,0,0,0
170,76,16,0,0,5,0,0,0,0,0
171,70,17,0,0,4,0,0,0,0,0
172,78,18,0,0,0,0,0,0,0,0
173,70,12,0,0,4,0,0,0,0,0
174,64,19,0,0,3,0,0,0,0,0
175,61,13,0,0,5,0,0,0,0,0
176,49,20,0,0,5,0,0,0,0,0
177,62,22,0,0,5,0,0,0,0,0
178,55,23,0,0,0,0,0,0,0,0
179,56,26,0,0,3,0,0,0,0,0
180,49,25,0,0,1,0,0,0,0,0
181,50,29,0,0,4,0,0,0,0,0
182,48,19,0,0,4,0,0,0,0,0
183,51,22,0,0,1,0,0,0,0,0
184,51,22,0,0,5,0,0,0,0,0
185,47,32,0,0,1,0,0,0,0,0
186,51,31,0,0,3,0,0,0,0,0
187,55,28,0,0,4,0,0,0,0,0
188,48,29,0,0,2,0,0,0,0,0
189,66,23,0,0,4,0,0,0,0,0
190,54,14,0,0,5,0,0,0,0,0
191,56,37,0,0,5,0,0,0,0,0
192,51,25,0,0,5,0,0,0,0,0
193,44,27,0,0,5,0,0,0,0,0
194,58,30,0,0,6,0,0,0,0,0
195,51,33,0,0,4,0,0,0,0,0
196,52,25,0,0,7,0,0,0,0,0
197,50,21,0,0,5,0,0,0,0,0
198,44,34,0,0,10,0,0,0,0,0
199,48,17,0,0,5,0,0,0,0,0
200,56,30,0,0,24,0,0,0,0,0
201,50,39,0,0,22,0,0,0,0,0
202,53,29,0,0,28,0,0,0,0,0
203,47,29,0,0,20,0,0,0,0,0
204,45,34,0,0,19,0,0,0,0,0
205,44,28,0,0,15,0,0,0,0,0
206,35,35,0,0,12,0,0,0,0,0
207,56,40,0,0,18,0,0,0,0,0
208,40,44,0,0,17,0,0,0,0,0
209,33,38,0,0,10,0,0,0,0,0
210,37,29,0,0,14,0,0,0,0,0
211,52,34,0,0,7,0,0,0,0,0
212,32,33,0,0,16,0,0,0,0,0
213,35,44,0,0,14,0,0,0,0,0
214,51,35,0,0,7,0,0,0,0,0
215,44,32,0,0,13,0,0,0,0,0
216,40,39,0,0,18,0,0,0,0,0
217,47,30,0,0,8,0,0,0,0,0
218,42,37,0,0,8,0,0,0,0,0
219,38,29,0,0,12,0,0,0,0,0
220,46,40,0,0,20,0,0,0,0,0
221,29,52,0,0,8,0,0,0,0,0
222,41,33,0,0,11,0,0,0,0,0
223,41,29,0,0,13,0,0,0,0,0
224,50,33,0,0,22,0,0,0,0,0
225,46,45,0,0,19,0,0,0,0,0
226,36,40,0,0,9,0,0,0,0,0
227,33,38,0,0,16,0,0,0,0,0
228,35,34,0,0,12,0,0,0,0,0
229,30,42,0,0,15,0,0,0,0,0
230,41,36,0,0,13,0,0,0,0,0
231,31,49,0,0,19,0,0,0,0,0
232,29,46,0,0,24,0,0,0,0,0
233,24,40,0,0,20,0,0,0,0,0
234,34,27,0,0,14,0,0,0,0,0
235,33,47,0,0,15,0,0,0,0,0
236,30,50,0,0,19,0,0,0,0,0
237,35,47,0,0,18,0,0,0,0,0
238,27,41,0,0,28,0,0,0,0,0
239,22,37,0,0,18,0,0,0,0,0
240,27,39,0,0,21,0,0,0,0,0
241,31,35,0,0,22,0,0,0,0,0
242,21,38,0,0,21,0,0,0,0,0
243,17,37,0,0,24,0,0,0,0,0
244,24,42,0,0,20,0,0,0,0,0
245,24,57,0,0,27,0,0,0,0,0
246,23,34,0,0,20,0,0,0,0,0
247,19,43,0,0,18,0,0,0,0,0
248,15,55,0,0,20,0,0,0,0,0
249,22,36,0,0,34,0,0,0,0,0
250,16,43,0,0,30,0,0,0,0,0
251,21,33,0,0,30,0,0,0,0,0
252,28,41,0,0,44,0,0,0,0,0
253,17,31,0,0,43,0,0,0,0,0
254,17,38,0,0,37,0,0,0,0,0
255,16,56,0,0,43,0,0,0,0,0
256,12,42,0,0,36,0,0,0,0,0
257,14,26,0,0,28,0,0,0,0,0
258,19,44,0,0,32,0,0,0,0,0
259,12,41,0,0,31,0,0,0,0,0
260,17,47,0,0,34,0,0,0,0,0
261,15,36,0,0,33,0,0,0,0,0
262,15,42,0,0,36,0,0,0,0,0
263,13,35,0,0,40,0,0,0,0,0
264,6,31,0,0,35,0,0,0,0,0
265,14,42,0,0,32,0,0,0,0,0
266,9,40,0,0,31,0,0,0,0,0
267,14,38,0,0,39,0,0,0,0,0
268,8,50,0,0,36,0,0,0,0,0
269,10,32,0,0,35,0,0,0,0,0
270,9,42,0,0,37,0,0,0,0,0
271,9,30,0,0,49,0,0,0,0,0
272,5,41,0,0,47,0,0,0,0,0
273,6,43,0,0,41,0,0,0,0,0
274,11,37,0,0,60,0,0,0,0,0
275,6,32,0,0,34,0,0,0,0,0
276,7,36,0,0,47,0,0,0,0,0
277,7,33,0,0,42,0,0,0,0,0
278,8,32,0,0,44,0,0,0,0,0
279,10,26,0,0,52,0,0,0,0,0
280,2,29,0,0,47,0,0,0,0,0
281,8,30,0,0,36,0,0,0,0,0
282,1,30,0,0,59,0,0,0,0,0
283,4,31,0,0,36,0,0,0,0,0
284,8,33,0,0,55,0,0,0,0,0
285,5,29,0,0,55,0,0,0,0,0
286,3,26,0,0,54,0,0,0,0,0
287,1,26,0,0,49,0,0,0,0,0
288,5,26,0,0,49,0,0,0,0,0
289,2,35,0,0,65,0,0,0,0,0
290,1,18,0,0,53,0,0,0,0,0
291,5,34,0,0,46,0,0,0,0,0
292,2,29,0,0,51,0,0,0,0,0
293,1,30,0,0,48,0,0,0,0,0
294,2,28,0,0,63,0,0,0,0,0
295,3,26,0,0,59,0,0,0,0,0
296,3,33,0,0,69,0,0,0,0,0
297,2,22,0,0,59,0,0,0,0,0
298,6,15,0,0,62,0,0,0,0,0
299,2,18,0,0,58,0,0,0,0,0
300,1,18,0,0,75,0,0,0,0,0
301,1,18,0,0,73,0,0,0,0,0
302,2,29,0,0,60,0,0,0,0,0
303,1,37,0,0,69,0,0,0,0,0
304,4,16,0,0,63,0,0,0,0,0
305,1,21,0,0,78,0,0,0,0,0
306,3,23,0,0,67,0,0,0,0,0
307,0,23,0,0,68,0,0,0,0,0
308,2,18,0,0,57,0,0,0,0,0
309,0,22,0,0,68,0,0,0,0,0
310,1,16,0,0,66,0,0,0,0,0
311,1,19,0,0,86,0,0,0,0,0
312,1,14,0,0,89,0,0,0,0,0
313,2,10,0,0,73,0,0,0,0,0
314,2,14,0,0,73,0,0,0,0,0
315,1,8,0,0,72,0,0,0,0,0
316,1,9,0,0,70,0,0,0,0,0
317,3,10,0,0,73,0,0,0,0,0
318,0,12,0,0,74,0,0,0,0,0
319,2,15,0,0,55,0,0,0,0,0
320,1,14,0,0,78,0,0,0,0,0
321,1,15,0,0,80,0,0,0,0,0
322,1,12,0,0,82,0,0,0,0,0
323,0,11,0,0,83,0,0,0,0,0
324,3,3,0,0,73,0,0,0,0,0
325,0,6,0,0,86,0,0,0,0,0
326,0,9,0,0,88,0,0,0,0,0
327,0,5,0,0,76,0,0,0,0,0
328,0,7,0,0,75,0,0,0,0,0
329,1,10,0,0,87,0,0,0,0,0
330,1,7,0,0,80,0,0,0,0,0
331,2,10,0,0,74,0,0,0,0,0
332,1,4,0,0,82,0,0,0,0,0
333,0,7,0,0,104,0,0,0,0,0
334,0,5,0,0,84,0,0,0,0,0
335,0,8,0,0,70,0,0,0,0,0
336,0,3,0,0,94,0,0,0,0,0
337,0,8,0,0,76,0,0,0,0,0
338,1,6,0,0,73,0,0,0,0,0
339,0,7,0,0,72,0,0,0,0,0
340,1,3,0,0,85,0,0,0,0,0
341,0,2,0,0,75,0,0,0,0,0
342,0,4,0,0,89,0,0,0,0,0
343,0,5,0,0,82,0,0,0,0,0
344,1,5,0,0,84,0,0,0,0,0
345,0,5,0,0,95,0,0,0,0,0
346,0,2,0,0,89,0,0,0,0,0
347,0,1,0,0,81,0,0,0,0,0
348,1,4,0,0,101,0,0,0,0,0
349,1,2,0,0,80,0,0,0,0,0
350,0,3,0,0,92,0,0,0,0,0
351,0,2,0,0,76,0,0,0,0,0
352,1,4,0,0,95,0,0,0,0,0
353,0,1,0,0,96,0,0,0,0,0
354,1,2,0,0,95,0,0,0,0,0
355,0,0,0,0,72,0,0,0,0,0
356,0,1,0,0,94,0,0,0,0,0
357,0,2,0,0,79,0,0,0,0,0
358,0,2,0,0,64,0,0,0,0,0
359,1,3,0,0,83,0,0,0,0,0
360,0,3,0,0,70,0,0,0,0,0
361,0,2,0,0,82,0,0,0,0,0
362,0,6,0,0,94,0,0,0,0,0
363,0,3,0,0,98,0,0,0,0,0
364,0,3,0,0,80,0,0,0,0,0
365,0,2,0,0,80,0,0,0,0,0
366,0,2,0,0,81,0,0,0,0,0
367,0,0,0,0,76,0,0,0,0,0
368,0,0,0,0,76,0,0,0,0,0
369,0,1,0,0,89,0,0,0,0,0
370,0,2,0,0,89,0,0,0,0,0
371,0,0,0,0,75,0,0,0,0,0
372,0,1,0,0,78,0,0,0,0,0
373,0,2,0,0,75,0,0,0,0,0
374,0,1,0,0,79,0,0,0,0,0
375,0,0,0,0,71,0,0,0,0,0
376,0,1,0,0,73,0,0,0,0,0
377,0,0,0,0,98,0,0,0,0,0
378,0,0,0,0,79,0,0,0,0,0
379,0,2,0,0,82,0,0,0,0,0
380,0,0,0,0,97,0,0,0,0,0
381,0,1,0,0,85,0,0,0,0,0
382,0,1,0,0,105,0,0,0,0,0
383,0,0,0,0,100,0,0,0,0,0
384,0,0,0,0,83,0,0,0,0,0
385,0,0,0,0,103,0,0,0,0,0
386,0,1,0,0,101,0,0,0,0,0
387,0,0,0,0,88,0,0,0,0,0
388,0,2,0,0,84,0,0,0,0,0
389,0,0,0,0,87,0,0,0,0,0
390,0,0,0,0,78,0,0,0,0,0
391,0,0,0,0,99,0,0,0,0,0
392,0,0,0,0,87,0,0,0,0,0
393,0,0,0,0,99,0,0,0,0,0
394,0,0,0,0,71,0,0,0,0,0
395,0,0,0,0,82,0,0,0,0,0
396,0,0,0,0,83,0,0,0,0,0
397,0,0,0,0,82,0,0,0,0,0
398,0,1,0,0,53,0,0,0,0,0
399,0,0,0,0,88,0,0,0,0,0
400,0,0,0,0,88,0,0,0,0,0
401,0,0,0,0,88,0,0,0,0,0
402,0,0,0,0,95,0,0,0,0,0
403,0,1,0,0,87,0,0,0,0,0
404,0,0,0,0,93,0,0,0,0,0
405,0,0,0,0,91,0,0,0,0,0
406,0,1,0,0,104,0,0,0,0,0
407,0,0,0,0,82,0,0,0,0,0
408,0,1,0,0,73,0,0,0,0,0
409,0,0,0,0,79,0,0,0,0,0
410,0,0,0,0,115,0,0,0,0,0
411,0,0,0,0,86,0,0,0,0,0
412,0,1,0,0,64,0,0,0,0,0
413,0,0,0,0,100,0,0,0,0,0
414,0,0,0,0,74,0,0,0,0,0
415,0,1,0,0,88,0,0,0,0,0
416,0,0,0,0,81,0,0,0,0,0
417,0,0,0,0,65,0,0,0,0,0
418,0,0,0,0,83,0,0,0,0,0
419,0,0,0,0,87,0,0,0,0,0
420,0,0,0,0,81,0,0,0,0,0
421,0,0,0,0,78,0,0,0,0,0
422,0,0,0,0,82,0,0,0,0,0
423,0,0,0,0,99,0,0,0,0,0
424,0,0,0,0,74,0,0,0,0,0
425,0,0,0,0,86,0,0,0,0,0
426,0,0,0,0,95,0,0,0,0,0
427,0,0,0,0,81,0,0,0,0,0
428,0,0,0,0,91,0,0,0,0,0
429,0,0,0,0,83,0,0,0,0,0
430,0,0,0,0,75,0,0,0,0,0
431,0,0,0,0,83,0,0,0,0,0
432,0,0,0,0,77,0,0,0,0,0
433,0,0,0,0,85,0,0,0,0,0
434,0,0,0,0,93,0,0,0,0,0
435,0,0,0,0,87,0,0,0,0,0
436,0,0,0,0,92,0,0,0,0,0
437,0,0,0,0,87,0,0,0,0,0
438,0,0,0,0,77,0,0,0,0,0
439,0,0,0,0,82,0,0,0,0,0
440,0,0,0,0,91,0,0,0,0,0
441,0,0,0,0,77,0,0,0,0,0
442,0,0,0,0,91,0,0,0,0,0
443,0,0,0,0,95,0,0,0,0,0
444,0,0,0,0,93,0,0,0,0,0
445,0,0,0,0,85,0,0,0,0,0
446,0,0,0,0,83,0,0,0,0,0
447,0,0,0,0,86,0,0,0,0,0
448,0,0,0,0,75,0,0,0,0,0
449,0,0,0,0,93,0,0,0,0,0
450,0,0,0,0,79,0,0,0,0,0
451,0,0,0,0,84,0,0,0,0,0
452,0,0,0,0,94,0,0,0,0,0
453,0,0,0,0,78,0,0,0,0,0
454,0,0,0,0,77,0,0,0,0,0
455,0,0,0,0,88,0,0,0,0,0
456,0,0,0,0,71,0,0,0,0,0
457,0,0,0,0,90,0,0,0,0,0
458,0,0,0,0,95,0,0,0,0,0
459,0,0,0,0,89,0,0,0,0,0
460,0,0,0,0,79,0,0,0,0,0
461,0,0,0,0,74,0,0,0,0,0
462,0,0,0,0,69,0,0,0,0,0
463,0,0,0,0,79,0,0,0,0,0
464,0,0,0,0,71,0,0,0,0,0
465,0,0,0,0,72,0,0,0,0,0
466,0,0,0,0,74,0,0,0,0,0
467,0,0,0,0,78,0,0,0,0,0
468,0,0,0,0,65,0,0,0,0,0
469,0,0,0,0,94,0,0,0,0,0
470,0,0,0,0,84,0,0,0,0,0
471,0,0,0,0,97,0,0,0,0,0
472,0,0,0,0,77,0,0,0,0,0
473,0,0,0,0,83,0,0,0,0,0
474,0,0,0,0,90,0,0,0,0,0
475,0,0,0,0,83,0,0,0,0,0
476,0,0,0,0,76,0,0,0,0,0
477,0,0,0,0,78,0,0,0,0,0
478,0,0,0,0,88,0,0,0,0,0
479,0,0,0,0,76,0,0,0,0,0
480,0,0,0,0,90,0,0,0,0,0
481,0,0,0,0,85,0,0,0,0,0
482,0,0,0,0,88,0,0,0,0,0
483,0,0,0,0,71,0,0,0,0,0
484,0,0,0,0,89,0,0,0,0,0
485,0,0,0,0,77,0,0,0,0,0
486,0,0,0,0,94,0,0,0,0,0
487,0,0,0,0,79,0,0,0,0,0
488,0,0,0,0,86,0,0,0,0,0
489,0,0,0,0,84,0,0,0,0,0
490,0,0,0,0,87,0,0,0,0,0
491,0,0,0,0,85,1,0,0,0,0
492,0,0,0,0,72,0,0,0,0,0
493,0,0,0,0,84,0,0,0,0,0
494,0,0,0,0,85,0,0,0,0,0
495,0,0,0,0,76,0,0,0,0,0
496,0,0,0,0,82,0,0,0,0,0
497,0,0,0,0,93,0,0,0,0,0
498,0,0,0,0,89,0,0,0,0,0
499,0,0,0,0,86,0,0,0,0,0
500,0,0,0,0,84,0,0,0,0,0
501,0,0,0,0,108,0,0,0,0,0
502,0,0,0,0,84,0,0,0,0,0
503,0,0,0,0,83,0,0,0,0,0
504,0,0,0,0,76,0,0,0,0,0
505,0,0,0,0,92,0,0,0,0,0
506,0,0,0,0,85,0,0,0,0,0
507,0,0,0,0,96,0,0,0,0,0
508,0,0,0,0,74,0,0,0,0,0
509,0,0,0,0,72,0,0,0,0,0
510,0,0,0,0,77,0,0,0,0,0
511,0,0,0,0,71,0,0,0,0,0
512,0,0,0,0,93,0,0,0,0,0
513,0,0,0,0,84,0,0,0,0,0
514,0,0,0,0,104,0,0,0,0,0
515,0,0,0,0,76,0,0,0,0,0
516,0,0,0,0,84,0,0,0,0,0
517,0,0,0,0,75,0,0,0,0,0
518,0,0,0,0,95,0,0,0,0,0
519,0,0,0,0,80,0,0,0,0,0
520,0,0,0,0,106,1,0,0,0,0
521,0,0,0,0,81,0,0,0,0,0
522,0,0,0,0,76,0,0,0,0,0
523,0,0,0,0,93,0,0,0,0,0
524,0,0,0,0,75,0,0,0,0,0
525,0,0,0,0,95,0,0,0,0,0
526,0,0,0,0,65,0,0,0,0,0
527,0,0,0,0,79,0,0,0,0,0
528,0,0,0,0,90,0,0,0,0,0
529,0,0,0,0,82,0,0,0,0,0
530,0,0,0,0,83,0,0,0,0,0
531,0,0,0,0,76,0,0,0,0,0
532,0,0,0,0,80,0,0,0,0,0
533,0,0,0,0,64,0,0,0,0,0
534,0,0,0,0,81,0,0,0,0,0
535,0,0,0,0,100,0,0,0,0,0
536,0,0,0,0,79,0,0,0,0,0
537,0,0,0,0,98,0,0,0,0,0
538,0,0,0,0,84,0,0,0,0,0
539,0,0,0,0,103,0,0,0,0,0
540,0,0,0,0,99,0,0,0,0,0
541,0,0,0,0,77,0,0,0,0,0
542,0,0,0,0,77,0,0,0,0,0
543,0,0,0,0,74,0,0,0,0,0
544,0,0,0,0,83,0,0,0,0,0
545,0,0,0,0,78,0,0,0,0,0
546,0,0,0,0,84,0,0,0,0,0
547,0,0,0,0,88,0,0,0,0,0
548,0,0,0,0,79,0,0,0,0,0
549,0,0,0,0,76,0,0,0,0,0
550,0,0,0,0,98,0,0,0,0,0
551,0,0,0,0,77,0,0,0,0,0
552,0,0,0,0,82,0,0,0,0,0
553,0,0,0,0,90,0,0,0,0,0
554,0,0,0,0,86,0,0,0,0,0
555,0,0,0,0,86,0,0,0,0,0
556,0,0,0,0,80,0,0,0,0,0
557,0,0,0,0,88,0,0,0,0,0
558,0,0,0,0,85,0,0,0,0,0
559,0,0,0,0,82,0,0,0,0,0
560,0,0,0,0,81,0,0,0,0,0
561,0,0,0,0,83,0,0,0,0,0
562,0,0,0,0,87,0,0,0,0,0
563,0,0,0,0,79,0,0,0,0,0
564,0,0,0,0,99,0,0,0,0,0
565,0,0,0,0,76,0,0,0,0,0
566,0,0,0,0,94,0,0,0,0,0
567,0,0,0,0,75,0,0,0,0,0
568,0,0,0,0,74,0,0,0,0,0
569,0,0,0,0,81,0,0,0,0,0
570,0,0,0,0,73,0,0,0,0,0
571,0,0,0,0,88,0,0,0,0,0
572,0,0,0,0,74,0,0,0,0,0
573,0,0,0,0,79,1,0,0,0,0
574,0,0,0,0,100,0,0,0,0,0
575,0,0,0,0,78,0,0,0,0,0
576,0,0,0,0,77,0,0,0,0,0
577,0,0,0,0,83,0,0,0,0,0
578,0,0,0,0,80,0,0,0,0,0
579,0,0,0,0,78,0,0,0,0,0
580,0,0,0,0,84,0,0,0,0,0
581,0,0,0,0,82,0,0,0,0,0
582,0,0,0,0,93,0,0,0,0,0
583,0,0,0,0,86,0,0,0,0,0
584,0,0,0,0,84,0,0,0,0,0
585,0,0,0,0,80,0,0,0,0,0
586,0,0,0,0,86,0,0,0,0,0
587,0,0,0,0,80,0,0,0,0,0
588,0,0,0,0,96,0,0,0,0,0
589,0,0,0,0,91,0,0,0,0,0
590,0,0,0,0,76,0,0,0,0,0
591,0,0,0,0,93,0,0,0,0,0
592,0,0,0,0,86,0,0,0,0,0
593,0,0,0,0,75,1,0,0,0,0
594,0,0,0,0,88,0,0,0,0,0
595,0,0,0,0,87,0,0,0,0,0
596,0,0,0,0,88,0,0,0,0,0
597,0,0,0,0,78,0,0,0,0,0
598,0,0,0,0,84,0,0,0,0,0
599,0,0,0,0,89,0,0,0,0,0
600,0,0,0,0,90,0,0,0,0,0
601,0,0,0,0,87,0,0,0,0,0
602,0,0,0,0,101,0,0,0,0,0
603,0,0,0,0,78,0,0,0,0,0
604,0,0,0,0,89,0,0,0,0,0
605,0,0,0,0,87,0,0,0,0,0
606,0,0,0,0,76,0,0,0,0,0
607,0,0,0,0,73,0,0,0,0,0
608,0,0,0,0,92,0,0,0,0,0
609,0,0,0,0,80,0,0,0,0,0
610,0,0,0,0,94,0,0,0,0,0
611,0,0,0,0,86,0,0,0,0,0
612,0,0,0,0,82,0,0,0,0,0
613,0,0,0,0,82,0,0,0,0,0
614,0,0,0,0,84,0,0,0,0,0
615,0,0,0,0,101,0,0,0,0,0
616,0,0,0,0,86,0,0,0,0,0
617,0,0,0,0,102,0,0,0,0,0
618,0,0,0,0,74,0,0,0,0,0
619,0,0,0,0,70,0,0,0,0,0
620,0,0,0,0,89,0,0,0,0,0
621,0,0,0,0,85,0,0,0,0,0
622,0,0,0,0,75,0,0,0,0,0
623,0,0,0,0,88,0,0,0,0,0
624,0,0,0,0,86,1,0,0,0,0
625,0,0,0,0,92,0,0,0,0,0
626,0,0,0,0,72,0,0,0,0,0
627,0,0,0,0,81,0,0,0,0,0
628,0,0,0,0,70,0,0,0,0,0
629,0,0,0,0,97,0,0,0,0,0
630,0,0,0,0,93,0,0,0,0,0
631,0,0,0,0,90,0,0,0,0,0
632,0,0,0,0,81,0,0,0,0,0
633,0,0,0,0,92,0,0,0,0,0
