Time,WW,WH,WR,WB,HH,HR,HB,RR,RB,BB
84,101,0,0,0,0,0,0,0,0,0
85,105,0,0,0,0,0,0,0,0,0
86,91,0,0,0,0,0,0,0,0,0
87,72,0,0,0,0,0,0,0,0,0
88,103,0,0,0,0,0,0,0,0,0
89,112,0,0,0,0,0,0,0,0,0
90,87,0,0,0,0,0,0,0,0,0
91,100,0,0,0,0,0,0,0,0,0
92,93,0,0,0,0,0,0,0,0,0
93,110,0,0,0,0,0,0,0,0,0
94,117,0,0,0,0,0,0,0,0,0
95,95,0,0,0,0,0,0,0,0,0
96,97,0,0,0,0,0,0,0,0,0
97,88,0,0,0,0,0,0,0,0,0
98,93,0,0,0,0,0,0,0,0,0
99,100,0,0,0,0,0,0,0,0,0
100,90,0,0,0,20,0,0,0,0,0
101,93,0,0,0,19,0,0,0,0,0
102,102,0,0,0,23,0,0,0,0,0
103,81,0,0,0,16,0,0,0,0,0
104,87,0,0,0,14,0,0,0,0,0
105,85,0,0,0,9,0,0,0,0,0
106,84,0,0,0,17,0,0,0,0,0
107,79,0,0,0,9,0,0,0,0,0
108,91,0,0,0,14,0,0,0,0,0
109,88,0,0,0,9,0,0,0,0,0
110,101,0,0,0,8,0,0,0,0,0
111,90,0,0,0,7,0,0,0,0,0
112,89,0,0,0,11,0,0,0,0,0
113,117,0,0,0,4,0,0,0,0,0
114,91,0,0,0,4,0,0,0,0,0
115,91,0,0,0,5,0,0,0,0,0
116,96,0,0,0,5,0,0,0,0,0
117,87,0,0,0,2,0,0,0,0,0
118,104,0,0,0,3,0,0,0,0,0
119,93,0,0,0,4,0,0,0,0,0
120,92,0,0,0,7,0,0,0,0,0
121,93,5,0,0,4,0,0,0,0,0
122,89,3,0,0,0,0,0,0,0,0
123,93,5,0,0,1,0,0,0,0,0
124,106,7,0,0,1,0,0,0,0,0
125,88,6,0,0,1,0,0,0,0,0
126,107,2,0,0,3,0,0,0,0,0
127,87,11,0,0,2,0,0,0,0,0
128,94,9,0,0,3,0,0,0,0,0
129,82,8,0,0,3,0,0,0,0,0
130,79,13,0,0,1,0,0,0,0,0
131,84,10,0,0,0,0,0,0,0,0
132,89,9,0,0,2,0,0,0,0,0
133,91,10,0,0,0,0,0,0,0,0
134,90,11,0,0,1,0,0,0,0,0
135,95,11,0,0,0,0,0,0,0,0
136,104,9,0,0,3,0,0,0,0,0
137,80,7,0,0,1,0,0,0,0,0
138,77,18,0,0,0,0,0,0,0,0
139,84,15,0,0,1,0,0,0,0,0
140,98,13,0,0,0,0,0,0,0,0
141,81,6,0,0,1,0,0,0,0,0
142,74,17,0,0,0,0,0,0,0,0
143,94,13,0,0,1,0,0,0,0,0
144,99,9,0,0,0,0,0,0,0,0
145,89,9,0,0,0,0,0,0,0,0
146,80,7,0,0,3,0,0,0,0,0
147,92,14,0,0,0,0,0,0,0,0
148,79,8,0,0,0,0,0,0,0,0
149,84,17,0,0,0,0,0,0,0,0
150,90,6,0,0,28,0,0,0,0,0
151,77,22,0,0,22,0,0,0,0,0
152,80,4,0,0,16,0,0,0,0,0
153,90,17,0,0,13,0,0,0,0,0
154,79,11,0,0,12,0,0,0,0,0
155,78,15,0,0,15,0,0,0,0,0
156,75,19,0,0,14,0,0,0,0,0
157,86,16,0,0,24,0,0,0,0,0
158,79,13,0,0,12,0,0,0,0,0
159,89,13,0,0,12,0,0,0,0,0
160,71,18,0,0,7,0,0,0,0,0
161,78,15,0,0,8,0,0,0,0,0
162,77,15,0,0,5,0,0,0,0,0
163,70,20,0,0,9,0,0,0,0,0
164,93,14,0,0,5,0,0,0,0,0
165,75,18,0,0,6,0,0,0,0,0
166,76,17,0,0,5,0,0,0,0,0
167,71,22,0,0,1,0,0,0,0,0
168,75,15,0,0,5,0,0,0,0,0
169,77,15,0,0,6,0,0,0,0,0
170,69,17,0,0,5,0,0,0,0,0
171,81,22,0,0,3,0,0,0,0,0
172,84,15,0,0,5,0,0,0,0,0
173,74,15,0,0,6,0,0,0,0,0
174,79,17,0,0,4,0,0,0,0,0
175,57,25,0,0,4,0,0,0,0,0
176,57,22,0,0,6,0,0,0,0,0
177,60,18,0,0,5,0,0,0,0,0
178,87,25,0,0,6,0,0,0,0,0
179,69,29,0,0,2,0,0,0,0,0
180,76,32,0,0,3,0,0,0,0,0
181,70,28,0,0,2,0,0,0,0,0
182,68,20,0,0,8,0,0,0,0,0
183,62,27,0,0,4,0,0,0,0,0
184,64,32,0,0,3,0,0,0,0,0
185,66,29,0,0,4,0,0,0,0,0
186,64,33,0,0,10,0,0,0,0,0
187,50,31,0,0,2,0,0,0,0,0
188,66,37,0,0,3,0,0,0,0,0
189,72,26,0,0,2,0,0,0,0,0
190,60,23,0,0,2,0,0,0,0,0
191,64,38,0,0,4,0,0,0,0,0
192,63,31,0,0,4,0,0,0,0,0
193,66,27,0,0,6,0,0,0,0,0
194,59,29,0,0,8,0,0,0,0,0
195,53,32,0,0,2,0,0,0,0,0
196,56,44,0,0,7,0,0,0,0,0
197,59,42,0,0,4,0,0,0,0,0
198,56,31,0,0,7,0,0,0,0,0
199,48,30,0,0,7,0,0,0,0,0
200,72,34,0,0,19,0,0,0,0,0
201,69,33,0,0,32,0,0,0,0,0
202,50,39,0,0,29,0,0,0,0,0
203,49,44,0,0,24,0,0,0,0,0
204,67,35,0,0,23,0,0,0,0,0
205,64,38,0,0,21,0,0,0,0,0
206,49,37,0,0,18,0,0,0,0,0
207,44,26,0,0,15,0,0,0,0,0
208,39,31,0,0,17,0,0,0,0,0
209,42,31,0,0,15,0,0,0,0,0
210,39,27,0,0,17,0,0,0,0,0
211,57,38,0,0,17,0,0,0,0,0
212,54,39,0,0,11,0,0,0,0,0
213,47,30,0,0,17,0,0,0,0,0
214,51,39,0,0,15,0,0,0,0,0
215,49,38,0,0,13,0,0,0,0,0
216,52,34,0,0,18,0,0,0,0,0
217,65,33,0,0,13,0,0,0,0,0
218,48,43,0,0,11,0,0,0,0,0
219,40,37,0,0,17,0,0,0,0,0
220,49,37,0,0,13,0,0,0,0,0
221,35,36,0,0,13,0,0,0,0,0
222,39,43,0,0,17,0,0,0,0,0
223,30,45,0,0,17,0,0,0,0,0
224,35,48,0,0,16,0,0,0,0,0
225,41,51,0,0,11,0,0,0,0,0
226,39,34,0,0,21,0,0,0,0,0
227,45,47,0,0,16,0,0,0,0,0
228,32,41,0,0,20,0,0,0,0,0
229,38,46,0,0,19,0,0,0,0,0
230,41,50,0,0,23,0,0,0,0,0
231,28,46,0,0,22,0,0,0,0,0
232,36,43,0,0,20,0,0,0,0,0
233,33,48,0,0,18,0,0,0,0,0
234,35,46,0,0,16,0,0,0,0,0
235,32,44,0,0,23,0,0,0,0,0
236,44,46,0,0,20,0,0,0,0,0
237,36,42,0,0,32,0,0,0,0,0
238,34,42,0,0,29,0,0,0,0,0
239,28,53,0,0,26,0,0,0,0,0
240,30,46,0,0,19,0,0,0,0,0
241,26,44,0,0,18,0,0,0,0,0
242,17,49,0,0,25,0,0,0,0,0
243,28,53,0,0,30,0,0,0,0,0
244,28,52,0,0,22,0,0,0,0,0
245,20,51,0,0,21,0,0,0,0,0
246,27,54,0,0,29,0,0,0,0,0
247,27,58,0,0,25,0,0,0,0,0
248,21,40,0,0,29,0,0,0,0,0
249,28,40,0,0,27,0,0,0,0,0
250,11,51,0,0,56,0,0,0,0,0
251,30,55,0,0,42,0,0,0,0,0
252,19,39,0,0,50,0,0,0,0,0
253,15,44,0,0,41,0,0,0,0,0
254,24,45,0,0,41,0,0,0,0,0
255,12,61,0,0,41,0,0,0,0,0
256,20,51,0,0,47,0,0,0,0,0
257,22,43,0,0,46,0,0,0,0,0
258,25,43,0,0,48,0,0,0,0,0
259,17,28,0,0,45,0,0,0,0,0
260,13,44,0,0,33,0,0,0,0,0
261,20,41,0,0,36,0,0,0,0,0
262,12,40,0,0,40,0,0,0,0,0
263,13,56,0,0,31,0,0,0,0,0
264,17,39,0,0,47,0,0,0,0,0
265,18,36,0,0,47,0,0,0,0,0
266,13,31,0,0,38,0,0,0,0,0
267,13,37,0,0,43,0,0,0,0,0
268,9,51,0,0,35,0,0,0,0,0
269,15,35,0,0,42,0,0,0,0,0
270,13,31,0,0,39,0,0,0,0,0
271,7,45,0,0,46,0,0,0,0,0
272,10,37,0,0,59,0,0,0,0,0
273,11,44,0,0,43,0,0,0,0,0
274,11,34,0,0,50,0,0,0,0,0
275,5,31,0,0,51,0,0,0,0,0
276,8,40,0,0,50,0,0,0,0,0
277,10,42,0,0,55,0,0,0,0,0
278,10,44,0,0,51,0,0,0,0,0
279,13,32,0,0,48,0,0,0,0,0
280,6,45,0,0,62,0,0,0,0,0
281,9,41,0,0,50,0,0,0,0,0
282,5,29,0,0,65,0,0,0,0,0
283,6,34,0,0,58,0,0,0,0,0
284,6,37,0,0,52,0,0,0,0,0
285,10,30,0,0,53,0,0,0,0,0
286,4,34,0,0,64,0,0,0,0,0
287,7,28,0,0,50,0,0,0,0,0
288,4,20,0,0,62,0,0,0,0,0
289,8,28,0,0,64,0,0,0,0,0
290,3,34,0,0,59,0,0,0,0,0
291,4,30,0,0,73,0,0,0,0,0
292,3,29,0,0,50,0,0,0,0,0
293,6,26,0,0,76,1,0,0,0,0
294,2,23,0,0,81,0,0,0,0,0
295,3,30,0,0,52,0,0,0,0,0
296,7,24,0,0,66,0,0,0,0,0
297,1,39,0,0,63,0,0,0,0,0
298,4,18,0,0,69,0,0,0,0,0
299,3,32,0,0,71,1,0,0,0,0
300,3,21,0,0,83,0,0,0,0,0
301,3,19,0,0,86,0,0,0,0,0
302,7,21,0,0,106,0,0,0,0,0
303,1,21,0,0,98,0,0,0,0,0
304,4,17,0,0,78,0,0,0,0,0
305,2,23,0,0,78,0,0,0,0,0
306,0,17,0,0,97,0,0,0,0,0
307,1,16,0,0,83,0,0,0,0,0
308,1,16,0,0,92,0,0,0,0,0
309,3,15,0,0,86,0,0,0,0,0
310,2,22,0,0,90,0,0,0,0,0
311,1,21,0,0,81,0,0,0,0,0
312,0,15,0,0,79,0,0,0,0,0
313,2,19,0,0,87,0,0,0,0,0
314,1,16,0,0,87,0,0,0,0,0
315,2,11,0,0,82,0,0,0,0,0
316,2,16,0,0,65,0,0,0,0,0
317,0,19,0,0,101,0,0,0,0,0
318,1,13,0,0,72,0,0,0,0,0
319,3,13,0,0,99,0,0,0,0,0
320,1,20,0,0,73,0,0,0,0,0
321,1,14,0,0,86,0,0,0,0,0
322,0,13,0,0,95,0,0,0,0,0
323,2,11,0,0,82,0,0,0,0,0
324,1,13,0,0,108,0,0,0,0,0
325,0,17,0,0,104,0,0,0,0,0
326,1,12,0,0,84,0,0,0,0,0
327,0,12,0,0,86,0,0,0,0,0
328,0,7,0,0,60,0,0,0,0,0
329,1,8,0,0,88,0,0,0,0,0
330,0,14,0,0,77,0,0,0,0,0
331,1,10,0,0,82,0,0,0,0,0
332,0,5,0,0,82,0,0,0,0,0
333,0,7,0,0,80,0,0,0,0,0
334,0,6,0,0,79,0,0,0,0,0
335,0,11,0,0,113,0,0,0,0,0
336,0,12,0,0,83,0,0,0,0,0
337,0,8,0,0,96,0,0,0,0,0
338,0,8,0,0,88,0,0,0,0,0
339,2,5,0,0,86,0,0,0,0,0
340,0,10,0,0,93,0,0,0,0,0
341,1,5,0,0,109,0,0,0,0,0
342,0,4,0,0,85,0,0,0,0,0
343,1,7,0,0,74,0,0,0,0,0
344,0,5,0,0,99,0,0,0,0,0
345,0,9,0,0,94,0,0,0,0,0
346,0,3,0,0,82,0,0,0,0,0
347,0,1,0,0,90,0,0,0,0,0
348,0,5,0,0,85,0,0,0,0,0
349,0,4,0,0,98,0,0,0,0,0
350,0,4,0,0,98,0,0,0,0,0
351,0,4,0,0,85,0,0,0,0,0
352,0,4,0,0,96,0,0,0,0,0
353,0,4,0,0,85,0,0,0,0,0
354,0,2,0,0,110,0,0,0,0,0
355,1,0,0,0,96,0,0,0,0,0
356,0,3,0,0,103,0,0,0,0,0
357,0,4,0,0,110,0,0,0,0,0
358,0,1,0,0,86,0,0,0,0,0
359,0,3,0,0,93,0,0,0,0,0
360,0,2,0,0,111,0,0,0,0,0
361,0,4,0,0,101,0,0,0,0,0
362,0,1,0,0,88,0,0,0,0,0
363,0,0,0,0,91,0,0,0,0,0
364,0,0,0,0,99,0,0,0,0,0
365,0,3,0,0,96,0,0,0,0,0
366,0,0,0,0,93,0,0,0,0,0
367,0,1,0,0,84,0,0,0,0,0
368,0,0,0,0,91,0,0,0,0,0
369,0,0,0,0,86,0,0,0,0,0
370,0,1,0,0,89,0,0,0,0,0
371,0,1,0,0,93,0,0,0,0,0
372,0,2,0,0,89,0,0,0,0,0
373,0,2,0,0,112,0,0,0,0,0
374,0,2,0,0,99,0,0,0,0,0
375,0,0,0,0,107,0,0,0,0,0
376,0,2,0,0,96,0,0,0,0,0
377,0,1,0,0,107,0,0,0,0,0
378,0,4,0,0,103,0,0,0,0,0
379,0,1,0,0,105,0,0,0,0,0
380,0,0,0,0,114,0,0,0,0,0
381,0,3,0,0,110,0,0,0,0,0
382,0,0,0,0,102,0,0,0,0,0
383,0,0,0,0,113,0,0,0,0,0
384,0,1,0,0,119,0,0,0,0,0
385,0,1,0,0,94,0,0,0,0,0
386,0,2,0,0,98,0,0,0,0,0
387,0,0,0,0,97,0,0,0,0,0
388,0,3,0,0,104,0,0,0,0,0
389,0,1,0,0,98,0,0,0,0,0
390,0,1,0,0,89,0,0,0,0,0
391,0,0,0,0,87,0,0,0,0,0
392,0,0,0,0,96,0,0,0,0,0
393,0,0,0,0,99,0,0,0,0,0
394,0,1,0,0,106,0,0,0,0,0
395,0,0,0,0,89,0,0,0,0,0
396,0,1,0,0,102,0,0,0,0,0
397,0,0,0,0,106,0,0,0,0,0
398,0,0,0,0,109,0,0,0,0,0
399,0,0,0,0,93,0,0,0,0,0
400,0,0,0,0,96,0,0,0,0,0
401,0,1,0,0,76,0,0,0,0,0
402,0,0,0,0,99,0,0,0,0,0
403,0,0,0,0,103,0,0,0,0,0
404,0,0,0,0,94,0,0,0,0,0
405,0,0,0,0,110,0,0,0,0,0
406,0,0,0,0,90,0,0,0,0,0
407,0,0,0,0,101,0,0,0,0,0
408,0,0,0,0,77,0,0,0,0,0
409,0,1,0,0,126,0,0,0,0,0
410,0,0,0,0,88,0,0,0,0,0
411,0,0,0,0,103,0,0,0,0,0
412,0,0,0,0,121,0,0,0,0,0
413,0,1,0,0,98,1,0,0,0,0
414,0,0,0,0,104,0,0,0,0,0
415,0,0,0,0,83,0,0,0,0,0
416,0,0,0,0,112,0,0,0,0,0
417,0,1,0,0,89,0,0,0,0,0
418,0,0,0,0,118,0,0,0,0,0
419,0,1,0,0,102,0,0,0,0,0
420,0,0,0,0,80,0,0,0,0,0
421,0,0,0,0,91,0,0,0,0,0
422,0,0,0,0,116,0,0,0,0,0
423,0,0,0,0,95,0,0,0,0,0
424,0,0,0,0,91,0,0,0,0,0
425,0,0,0,0,102,0,0,0,0,0
426,0,0,0,0,130,0,0,0,0,0
427,0,0,0,0,100,0,0,0,0,0
428,0,0,0,0,94,0,0,0,0,0
429,0,0,0,0,115,0,0,0,0,0
430,0,0,0,0,85,0,0,0,0,0
431,0,0,0,0,93,0,0,0,0,0
432,0,0,0,0,104,0,0,0,0,0
433,0,0,0,0,105,0,0,0,0,0
434,0,0,0,0,94,0,0,0,0,0
435,0,0,0,0,102,0,0,0,0,0
436,0,0,0,0,94,0,0,0,0,0
437,0,0,0,0,95,0,0,0,0,0
438,0,0,0,0,96,0,0,0,0,0
439,0,0,0,0,83,0,0,0,0,0
440,0,0,0,0,112,0,0,0,0,0
441,0,0,0,0,72,1,0,0,0,0
442,0,0,0,0,99,0,0,0,0,0
443,0,0,0,0,106,0,0,0,0,0
444,0,0,0,0,80,0,0,0,0,0
445,0,0,0,0,95,1,0,0,0,0
446,0,0,0,0,104,0,0,0,0,0
447,0,0,0,0,94,0,0,0,0,0
448,0,0,0,0,99,0,0,0,0,0
449,0,0,0,0,102,0,0,0,0,0
450,0,0,0,0,116,0,0,0,0,0
451,0,0,0,0,111,0,0,0,0,0
452,0,0,0,0,114,0,0,0,0,0
453,0,0,0,0,93,0,0,0,0,0
454,0,0,0,0,100,0,0,0,0,0
455,0,0,0,0,93,0,0,0,0,0
456,0,0,0,0,79,0,0,0,0,0
457,0,0,0,0,95,0,0,0,0,0
458,0,0,0,0,109,0,0,0,0,0
459,0,0,0,0,93,0,0,0,0,0
460,0,0,0,0,96,0,0,0,0,0
461,0,0,0,0,115,0,0,0,0,0
462,0,0,0,0,94,0,0,0,0,0
463,0,0,0,0,102,0,0,0,0,0
464,0,0,0,0,85,0,0,0,0,0
465,0,0,0,0,91,0,0,0,0,0
466,0,0,0,0,105,0,0,0,0,0
467,0,0,0,0,105,0,0,0,0,0
468,0,0,0,0,87,0,0,0,0,0
469,0,0,0,0,87,0,0,0,0,0
470,0,0,0,0,92,0,0,0,0,0
471,0,0,0,0,106,0,0,0,0,0
472,0,0,0,0,84,0,0,0,0,0
473,0,0,0,0,105,0,0,0,0,0
474,0,0,0,0,102,0,0,0,0,0
475,0,0,0,0,97,0,0,0,0,0
476,0,0,0,0,103,0,0,0,0,0
477,0,0,0,0,93,0,0,0,0,0
478,0,0,0,0,98,0,0,0,0,0
479,0,0,0,0,91,0,0,0,0,0
480,0,0,0,0,84,0,0,0,0,0
481,0,0,0,0,97,0,0,0,0,0
482,0,0,0,0,77,0,0,0,0,0
483,0,0,0,0,82,0,0,0,0,0
484,0,0,0,0,105,0,0,0,0,0
485,0,0,0,0,101,0,0,0,0,0
486,0,0,0,0,113,0,0,0,0,0
487,0,0,0,0,89,0,0,0,0,0
488,0,0,0,0,82,0,0,0,0,0
489,0,0,0,0,81,0,0,0,0,0
490,0,0,0,0,114,0,0,0,0,0
491,0,0,0,0,81,0,0,0,0,0
492,0,0,0,0,103,0,0,0,0,0
493,0,0,0,0,96,0,0,0,0,0
494,0,0,0,0,99,0,0,0,0,0
495,0,0,0,0,103,0,0,0,0,0
496,0,0,0,0,96,0,0,0,0,0
497,0,0,0,0,88,0,0,0,0,0
498,0,0,0,0,93,0,0,0,0,0
499,0,0,0,0,108,0,0,0,0,0
500,0,0,0,0,104,0,0,0,0,0
501,0,0,0,0,101,0,0,0,0,0
502,0,0,0,0,94,0,0,0,0,0
503,0,0,0,0,87,0,0,0,0,0
504,0,0,0,0,107,0,0,0,0,0
505,0,0,0,0,93,0,0,0,0,0
506,0,0,0,0,87,0,0,0,0,0
507,0,0,0,0,89,0,0,0,0,0
508,0,0,0,0,100,0,0,0,0,0
509,0,0,0,0,107,0,0,0,0,0
510,0,0,0,0,78,0,0,0,0,0
511,0,0,0,0,124,0,0,0,0,0
512,0,0,0,0,95,0,0,0,0,0
513,0,0,0,0,93,0,0,0,0,0
514,0,0,0,0,91,0,0,0,0,0
515,0,0,0,0,102,0,0,0,0,0
516,0,0,0,0,110,0,0,0,0,0
517,0,0,0,0,101,0,0,0,0,0
518,0,0,0,0,89,0,0,0,0,0
519,0,0,0,0,87,0,0,0,0,0
520,0,0,0,0,99,0,0,0,0,0
521,0,0,0,0,104,0,0,0,0,0
522,0,0,0,0,87,0,0,0,0,0
523,0,0,0,0,106,0,0,0,0,0
524,0,0,0,0,80,0,0,0,0,0
525,0,0,0,0,102,0,0,0,0,0
526,0,0,0,0,115,0,0,0,0,0
527,0,0,0,0,93,0,0,0,0,0
528,0,0,0,0,120,0,0,0,0,0
529,0,0,0,0,112,0,0,0,0,0
530,0,0,0,0,98,0,0,0,0,0
531,0,0,0,0,82,0,0,0,0,0
532,0,0,0,0,92,0,0,0,0,0
533,0,0,0,0,95,0,0,0,0,0
534,0,0,0,0,82,0,0,0,0,0
535,0,0,0,0,105,0,0,0,0,0
536,0,0,0,0,105,0,0,0,0,0
537,0,0,0,0,94,0,0,0,0,0
538,0,0,0,0,80,0,0,0,0,0
539,0,0,0,0,106,0,0,0,0,0
540,0,0,0,0,87,0,0,0,0,0
541,0,0,0,0,103,0,0,0,0,0
542,0,0,0,0,93,0,0,0,0,0
543,0,0,0,0,90,0,0,0,0,0
544,0,0,0,0,92,0,0,0,0,0
545,0,0,0,0,106,0,0,0,0,0
546,0,0,0,0,85,0,0,0,0,0
547,0,0,0,0,90,0,0,0,0,0
548,0,0,0,0,85,0,0,0,0,0
549,0,0,0,0,92,0,0,0,0,0
550,0,0,0,0,101,0,0,0,0,0
551,0,0,0,0,99,0,0,0,0,0
552,0,0,0,0,100,0,0,0,0,0
553,0,0,0,0,88,0,0,0,0,0
554,0,0,0,0,89,0,0,0,0,0
555,0,0,0,0,114,0,0,0,0,0
556,0,0,0,0,98,0,0,0,0,0
557,0,0,0,0,98,0,0,0,0,0
558,0,0,0,0,99,0,0,0,0,0
559,0,0,0,0,109,0,0,0,0,0
560,0,0,0,0,104,0,0,0,0,0
561,0,0,0,0,93,1,0,0,0,0
562,0,0,0,0,90,0,0,0,0,0
563,0,0,0,0,96,0,0,0,0,0
564,0,0,0,0,99,0,0,0,0,0
565,0,0,0,0,114,0,0,0,0,0
566,0,0,0,0,117,0,0,0,0,0
567,0,0,0,0,102,0,0,0,0,0
568,0,0,0,0,107,0,0,0,0,0
569,0,0,0,0,101,0,0,0,0,0
570,0,0,0,0,91,0,0,0,0,0
571,0,0,0,0,94,0,0,0,0,0
572,0,0,0,0,90,0,0,0,0,0
573,0,0,0,0,104,0,0,0,0,0
574,0,0,0,0,88,0,0,0,0,0
575,0,0,0,0,93,0,0,0,0,0
576,0,0,0,0,88,0,0,0,0,0
577,0,0,0,0,102,0,0,0,0,0
578,0,0,0,0,96,0,0,0,0,0
579,0,0,0,0,97,0,0,0,0,0
580,0,0,0,0,112,0,0,0,0,0
581,0,0,0,0,110,0,0,0,0,0
582,0,0,0,0,134,0,0,0,0,0
583,0,0,0,0,82,0,0,0,0,0
584,0,0,0,0,94,0,0,0,0,0
585,0,0,0,0,89,0,0,0,0,0
586,0,0,0,0,95,0,0,0,0,0
587,0,0,0,0,90,0,0,0,0,0
588,0,0,0,0,91,0,0,0,0,0
589,0,0,0,0,88,0,0,0,0,0
590,0,0,0,0,93,0,0,0,0,0
591,0,0,0,0,100,0,0,0,0,0
592,0,0,0,0,99,0,0,0,0,0
593,0,0,0,0,99,0,0,0,0,0
594,0,0,0,0,101,0,0,0,0,0
595,0,0,0,0,80,0,0,0,0,0
596,0,0,0,0,87,0,0,0,0,0
597,0,0,0,0,78,0,0,0,0,0
598,0,0,0,0,92,0,0,0,0,0
599,0,0,0,0,113,0,0,0,0,0
600,0,0,0,0,92,0,0,0,0,0
601,0,0,0,0,97,0,0,0,0,0
602,0,0,0,0,105,0,0,0,0,0
603,0,0,0,0,98,0,0,0,0,0
604,0,0,0,0,85,0,0,0,0,0
605,0,0,0,0,106,0,0,0,0,0
606,0,0,0,0,89,0,0,0,0,0
607,0,0,0,0,90,0,0,0,0,0
608,0,0,0,0,111,0,0,0,0,0
609,0,0,0,0,90,0,0,0,0,0
610,0,0,0,0,102,0,0,0,0,0
611,0,0,0,0,96,0,0,0,0,0
612,0,0,0,0,89,0,0,0,0,0
613,0,0,0,0,85,0,0,0,0,0
614,0,0,0,0,101,0,0,0,0,0
615,0,0,0,0,109,0,0,0,0,0
616,0,0,0,0,82,0,0,0,0,0
617,0,0,0,0,110,0,0,0,0,0
618,0,0,0,0,95,0,0,0,0,0
619,0,0,0,0,101,0,0,0,0,0
620,0,0,0,0,100,0,0,0,0,0
621,0,0,0,0,112,0,0,0,0,0
622,0,0,0,0,83,0,0,0,0,0
623,0,0,0,0,95,0,0,0,0,0
624,0,0,0,0,101,0,0,0,0,0
625,0,0,0,0,97,0,0,0,0,0
626,0,0,0,0,82,0,0,0,0,0
627,0,0,0,0,86,0,0,0,0,0
628,0,0,0,0,97,0,0,0,0,0
629,0,0,0,0,98,0,0,0,0,0
630,0,0,0,0,105,0,0,0,0,0
631,0,0,0,0,81,1,0,0,0,0
632,0,0,0,0,78,0,0,0,0,0
633,0,0,0,0,94,0,0,0,0,0
