Time,WW,WH,WR,WB,HH,HR,HB,RR,RB,BB
485,0,0,0,0,86,0,0,0,0,0
486,0,0,0,0,106,0,0,0,0,0
487,0,0,0,0,105,0,0,0,0,0
488,0,0,0,0,97,0,0,0,0,0
489,0,0,0,0,86,0,0,0,0,0
490,0,0,0,0,82,0,0,0,0,0
491,0,0,0,0,87,0,0,0,0,0
492,0,0,0,0,98,0,0,0,0,0
493,0,0,0,0,79,0,0,0,0,0
494,0,0,0,0,101,0,0,0,0,0
495,0,0,0,0,106,0,0,0,0,0
496,0,0,0,0,76,0,0,0,0,0
497,0,0,0,0,87,0,0,0,0,0
498,0,0,0,0,106,0,0,0,0,0
499,0,0,0,0,87,0,0,0,0,0
500,0,0,0,0,99,0,0,0,0,0
501,0,0,0,0,95,0,0,0,0,0
502,0,0,0,0,94,0,0,0,0,0
503,0,0,0,0,105,0,0,0,0,0
504,0,0,0,0,75,0,0,0,0,0
505,0,0,0,0,104,0,0,0,0,0
506,0,0,0,0,101,0,0,0,0,0
507,0,0,0,0,104,0,0,0,0,0
508,0,0,0,0,98,0,0,0,0,0
509,0,0,0,0,105,0,0,0,0,0
510,0,0,0,0,101,0,0,0,0,0
511,0,0,0,0,93,0,0,0,0,0
512,0,0,0,0,90,0,0,0,0,0
513,0,0,0,0,91,0,0,0,0,0
514,0,0,0,0,117,0,0,0,0,0
515,0,0,0,0,98,0,0,0,0,0
516,0,0,0,0,103,0,0,0,0,0
517,0,0,0,0,92,0,0,0,0,0
518,0,0,0,0,107,0,0,0,0,0
519,0,0,0,0,108,0,0,0,0,0
520,0,0,0,0,94,0,0,0,0,0
521,0,0,0,0,95,0,0,0,0,0
522,0,0,0,0,94,0,0,0,0,0
523,0,0,0,0,95,0,0,0,0,0
524,0,0,0,0,80,1,0,0,0,0
525,0,0,0,0,91,0,0,0,0,0
526,0,0,0,0,104,0,0,0,0,0
527,0,0,0,0,108,0,0,0,0,0
528,0,0,0,0,86,0,0,0,0,0
529,0,0,0,0,105,0,0,0,0,0
530,0,0,0,0,84,0,0,0,0,0
531,0,0,0,0,97,0,0,0,0,0
532,0,0,0,0,96,0,0,0,0,0
533,0,0,0,0,81,0,0,0,0,0
534,0,0,0,0,99,0,0,0,0,0
535,0,0,0,0,89,0,0,0,0,0
536,0,0,0,0,102,0,0,0,0,0
537,0,0,0,0,95,0,0,0,0,0
538,0,0,0,0,99,0,0,0,0,0
539,0,0,0,0,107,0,0,0,0,0
540,0,0,0,0,100,0,0,0,0,0
541,0,0,0,0,106,0,0,0,0,0
542,0,0,0,0,86,0,0,0,0,0
543,0,0,0,0,91,0,0,0,0,0
544,0,0,0,0,94,0,0,0,0,0
545,0,0,0,0,105,0,0,0,0,0
546,0,0,0,0,91,0,0,0,0,0
547,0,0,0,0,105,0,0,0,0,0
548,0,0,0,0,96,0,0,0,0,0
549,0,0,0,0,68,0,0,0,0,0
550,0,0,0,0,86,0,0,0,0,0
551,0,0,0,0,101,0,0,0,0,0
552,0,0,0,0,103,0,0,0,0,0
553,0,0,0,0,106,0,0,0,0,0
554,0,0,0,0,93,0,0,0,0,0
555,0,0,0,0,123,0,0,0,0,0
556,0,0,0,0,94,0,0,0,0,0
557,0,0,0,0,86,0,0,0,0,0
558,0,0,0,0,100,0,0,0,0,0
559,0,0,0,0,92,0,0,0,0,0
560,0,0,0,0,90,0,0,0,0,0
561,0,0,0,0,83,0,0,0,0,0
562,0,0,0,0,106,0,0,0,0,0
563,0,0,0,0,91,0,0,0,0,0
564,0,0,0,0,105,0,0,0,0,0
565,0,0,0,0,88,0,0,0,0,0
566,0,0,0,0,95,0,0,0,0,0
567,0,0,0,0,84,0,0,0,0,0
568,0,0,0,0,106,0,0,0,0,0
569,0,0,0,0,89,0,0,0,0,0
570,0,0,0,0,97,0,0,0,0,0
571,0,0,0,0,89,0,0,0,0,0
572,0,0,0,0,80,0,0,0,0,0
573,0,0,0,0,90,0,0,0,0,0
574,0,0,0,0,100,0,0,0,0,0
575,0,0,0,0,89,0,0,0,0,0
576,0,0,0,0,93,0,0,0,0,0
577,0,0,0,0,90,0,0,0,0,0
578,0,0,0,0,95,0,0,0,0,0
579,0,0,0,0,85,0,0,0,0,0
580,0,0,0,0,92,0,0,0,0,0
581,0,0,0,0,75,0,0,0,0,0
582,0,0,0,0,125,0,0,0,0,0
583,0,0,0,0,108,0,0,0,0,0
584,0,0,0,0,100,0,0,0,0,0
585,0,0,0,0,89,0,0,0,0,0
586,0,0,0,0,101,0,0,0,0,0
587,0,0,0,0,91,0,0,0,0,0
588,0,0,0,0,92,0,0,0,0,0
589,0,0,0,0,95,0,0,0,0,0
590,0,0,0,0,101,0,0,0,0,0
591,0,0,0,0,110,0,0,0,0,0
592,0,0,0,0,95,0,0,0,0,0
593,0,0,0,0,115,0,0,0,0,0
594,0,0,0,0,105,0,0,0,0,0
595,0,0,0,0,96,0,0,0,0,0
596,0,0,0,0,92,0,0,0,0,0
597,0,0,0,0,108,0,0,0,0,0
598,0,0,0,0,90,0,0,0,0,0
